name,earnings_yield,eps_ttm,trailing_pe,pc_return_on_equity_ttm,pc_return_on_assets_ttm,market_cap,ent_val,pc_profit_margin,pc_operating_margin_ttm,total_cash,total_debt,q_revenue_growth,q_earnings_growth,
V,0.036062026685899744,5.48,27.73,35.68,13.43,336480000000,336300000000,52.6,66.86,12670000000,17260000000,10.0,9.9
VFC,0.06596306068601583,3.22,15.16,35.44,12.04,19290000000,22250000000,9.03,14.19,583950000,3540000000,4.9,0.3
HII,0.08375209380234507,18.58,11.94,35.37,7.03,9220000000,8790000000,6.17,8.48,75000000,1480000000,9.7,29.7
CHRW,0.061500615006150054,4.19,16.26,35.33,10.89,8950000000,10300000000,3.77,5.16,447860000,1560000000,8.3,47.0
ALGN,0.035868005738880916,5.53,27.88,34.07,14.12,12140000000,11330000000,18.4,21.38,868630000,59200000,21.7,24.5
ACN,0.05037783375314861,7.66,19.85,34.01,13.44,97060000000,95340000000,11.13,14.66,5440000000,3410000000,6.6,9.8
VZ,0.08503401360544217,3.87,11.76,33.67,7.08,226460000000,359000000000,14.61,23.9,2590000000,133920000000,1.4,162.8
HON,0.066006600660066,8.41,15.15,33.61,8.06,90140000000,97330000000,16.73,20.44,10420000000,16710000000,2.4,9.2
AMAT,0.07132667617689016,3.02,14.02,33.52,11.26,38830000000,40340000000,18.83,23.2,3960000000,5470000000,10.9,15.7
AMP,0.15408320493066255,13.92,6.49,33.45,1.31,11110000000,11440000000,14.69,23.57,5280000000,5590000000,3.2,14.1
XLNX,0.04312203536006899,3.41,23.19,33.16,10.57,19680000000,18560000000,27.05,26.95,2430000000,1300000000,9.6,32.3
DAL,0.3246753246753247,7.3,3.08,32.83,6.66,14390000000,29430000000,10.14,14.15,2890000000,17990000000,6.5,7.8
WHR,0.2232142857142857,18.45,4.48,32.72,4.42,5180000000,10100000000,5.8,6.45,1950000000,5940000000,4.9,69.4
URI,0.16583747927031509,15.11,6.03,32.46,7.57,6750000000,18860000000,12.56,24.02,52000000,12140000000,6.5,9.0
COG,0.09398496240601503,1.63,10.64,32.13,12.65,6920000000,7970000000,34.3,44.26,200230000,1260000000,30.8,46.6
PGR,0.08849557522123894,6.72,11.3,31.92,6.59,44450000000,47750000000,10.18,13.72,2020000000,4610000000,33.7,304.5
FAST,0.04526935264825713,1.38,22.09,31.84,18.54,17510000000,17920000000,14.83,19.8,174900000,590600000,3.7,5.9
ADBE,0.02247696111485727,6.6,44.49,31.79,10.77,141460000000,142000000000,27.72,30.1,4170000000,4710000000,18.8,41.7
UNP,0.060459492140266025,8.38,16.54,30.71,8.91,95650000000,121790000000,27.27,39.69,891000000,27030000000,9.5,9.7
EXPD,0.05053057099545225,3.52,19.79,30.37,14.43,11270000000,11730000000,7.49,9.53,1190000000,348190000,8.9,3.0
K,0.04403346543372963,2.8,22.71,30.19,5.96,21780000000,30390000000,7.07,12.42,404000000,8480000000,2.8,None
TROW,0.09140767824497258,8.7,10.94,29.81,17.53,22210000000,21950000000,37.94,42.49,1780000000,146300000,12.5,55.0
AXP,0.10857763300760043,7.99,9.21,29.8,3.49,59310000000,100870000000,16.91,21.49,24000000000,65400000000,8.6,15.8
CTAS,0.05367686527106817,8.81,18.63,29.46,10.36,17090000000,19880000000,13.19,17.5,234440000,3030000000,7.6,15.3
ADS,0.2061855670103093,5.46,4.85,29.21,2.33,1260000000,19990000000,4.98,18.96,3870000000,22600000000,0.2,65.8
NFLX,0.01141682840506907,4.13,87.59,29.12,5.43,158740000000,170100000000,9.26,12.92,5020000000,16370000000,30.6,338.3
CSCO,0.06565988181221273,2.56,15.23,28.97,9.37,165650000000,155660000000,21.44,28.06,27060000000,17070000000,3.5,2.0
EW,0.026075619295958277,4.93,38.35,28.73,13.13,39200000000,38700000000,24.08,28.53,1520000000,678800000,20.1,902.9
MNST,0.037439161362785474,2.03,26.71,28.47,18.27,29110000000,27810000000,26.37,33.67,1330000000,29950000,10.1,6.6
AMT,0.019029495718363463,4.24,52.55,28.41,4.72,98680000000,129770000000,24.9,37.79,1500000000,31060000000,9.8,102.7
TGT,0.06872852233676975,6.36,14.55,28.27,7.03,46370000000,57770000000,4.2,6.05,2580000000,13970000000,1.8,4.5
AVY,0.03813882532418002,3.57,26.22,28.12,9.58,7800000000,9590000000,4.29,11.56,283900000,2080000000,0.2,67.4
DE,0.07570022710068129,10.26,13.21,28.12,3.72,42500000000,84530000000,8.42,10.85,3310000000,45320000000,4.4,3.8
UAL,0.5050505050505051,11.58,1.98,27.9,5.62,5670000000,21180000000,6.96,10.56,4940000000,20450000000,3.8,39.0
INTC,0.08703220191470844,4.71,11.49,27.68,10.6,231700000000,247940000000,29.25,31.17,13120000000,29550000000,8.3,32.9
RTN,0.1019367991845056,11.92,9.81,27.58,7.69,32570000000,33990000000,11.46,14.18,4290000000,5680000000,6.5,6.4
DRI,0.11273957158962797,5.13,8.87,27.45,5.88,5500000000,10930000000,7.25,8.41,321700000,5760000000,4.5,3.9
CSX,0.07347538574577517,4.17,13.61,27.25,8.23,43750000000,58780000000,27.9,41.38,1950000000,16790000000,8.2,8.5
CMI,0.10952902519167579,14.48,9.13,27.12,8.33,19590000000,22230000000,9.59,10.96,1470000000,2870000000,8.9,48.2
LEG,0.10869565217391305,2.47,9.2,27.04,7.86,3000000000,5030000000,7.02,10.84,247600000,2280000000,9.4,63.8
APH,0.0547945205479452,3.75,18.25,26.88,9.83,20400000000,23360000000,14.04,19.93,908600000,3810000000,3.3,5.7
GIS,0.061312078479460456,3.48,16.31,26.73,6.26,34370000000,48630000000,12.68,18.08,606900000,14040000000,0.4,1.6
